Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Santo Domingo / Metro Santa Ana / Amunategui,$300.000,1 dormitorio,1 baño,30 m² útiles,"Santo Domingo 1364, Centro Históri..."
"Oportunidad! Lindo, Super Amplio, Luminoso Dpto 2d, 1.5b, 85",$650.000,3 dormitorios,3 baños,140 m² útiles,"Moneda Con Tucapel, Centro Históri..."
"Dpto. Estudio, Merced/ Mac Iver, De 22 M², No Paga Corretaje",$290.000,1 dormitorio,1 baño,22 m² útiles,"Merced 691, Centro Histórico De Sa..."
Arriendo Departamento Santo Domingo,$280.000,1 dormitorio,1 baño,28 m² útiles,"Santo Domingo 736, Centro Históric..."
Precioso Departamento Parque Forestal/ Bellas Artes,UF60,4 dormitorios,4 baños,140 m² útiles,"Ismael Valdés Vergara 400, Centro ..."
San Pablo Con San Martin,$250.000,1 dormitorio,1 baño,30 m² útiles,A 3 Cuadras Metro Santa Ana Centro...
Frente Al Metro Cal  Y Canto,$250.000,1 dormitorio,1 baño,32 m² útiles,"Frente Al Metro Cal Y Canto, Centr..."
"Dpto Moderno, Full Seguridad A Pasos De Metro Y Todo, Visite",$340.000,2 dormitorios,1 baño,43 m² útiles,"Monjitas 744, Centro Histórico De ..."
Monjitas/ Bellas Artes / Parque Forestal,$450.000,2 dormitorios,1 baño,55 m² útiles,"Monjitas 513, Centro Histórico De ..."
Se Arrienda Depto De 2d-2b En General Mackenna Santa Ana,$450.000,2 dormitorios,2 baños,52 m² útiles,"Gral. Mackenna 1555, Centro Histór..."
,UF9,2 dormitorios,1 baño,48 m² útiles,Oficina En Segundo Piso Huerfanos ...
Teatinos / Catedral,$260.000,1 dormitorio,1 baño,29 m² útiles,"Catedral 1289, Santiago, Chile, Ce..."
"Home Studio U Oficina, Pasos Metro Santa Lucia",$290.000,1 dormitorio,1 baño,30 m² útiles,"Enrique Mac Iver 22, Centro Histór..."
"Metro Bellas Artes, 1 Dormitorio, Piscina",$345.000,1 dormitorio,1 baño,31 m² útiles,"Merced 300 - 600, Santiago, Región..."
,UF5,1 dormitorio,1 baño,20 m² útiles,"Depto 1d + 1b Muy Buena Ubicacion,..."
Arrendamos Agradable Depto. En Moneda/tucapel Jimenez,$295.000,1 dormitorio,1 baño,36 m² útiles,"Moneda 1617, Centro Histórico De S..."
Departamento Tipo Mariposa Metro Santa Ana,$380.000,2 dormitorios,2 baños,52 m² útiles,"Amunátegui 630, Centro Histórico D..."
Departamento En Alameda Metro Santa Lucía,$285.000,1 dormitorio,1 baño,35 m² útiles,Av. Libertador Bernardo O'higgins ...
Metro Santa Ana Home Studio,$240.000,1 dormitorio,1 baño,20 m² útiles,"Mario Kreutzberger Sn, Centro Hist..."
"Impecable Y Luminoso Depto De 1 Dormitorio, Arrienda Dueña",$320.000,1 dormitorio,1 baño,37 m² útiles,"Gral. Mackenna 1555, Centro Histór..."
Arriendo Dpto. Studio Amoblado 1d1b Metro Moneda,$300.000,1 dormitorio,1 baño,25 m² útiles,"Tucapel Jiménez 136, Santiago, Chi..."
Departamento En Arriendo De 2 Dorm.con Estaciona En Santiago,$470.000,2 dormitorios,2 baños,45 m² útiles,"General Mackenna / San Martín, Cen..."
Arriendo Dpto Concepto Abierto / Excelente Conectividad,$290.000,1 dormitorio,1 baño,32 m² útiles,"Mario Kreutzberger, Centro Históri..."
Dpto. Llegar Habitar 1/1 . Cod 312,$270.000,1 dormitorio,1 baño,36 m² útiles,"Santo Domingo 1161, Santiago, Chil..."
Arriendo Depto Huerfanos Con Amunategui.,$420.000,2 dormitorios,2 baños,60 m² útiles,"Huérfanos 1400, Centro Histórico D..."
"Arriendo Depto 1d1b, Santiago Centro",$320.000,1 dormitorio,1 baño,38 m² útiles,"General Mackenna 1490, Santiago, C..."
Morande / Sto Domingo Mtro Plaza De Armas Depto 1d 1b Bodega,$300.000,1 dormitorio,1 baño,40 m² útiles,"Morandé 626, Centro Histórico De S..."
Merced Con Mosqueto,$360.000,1 dormitorio,1 baño,35 m² útiles,"Merced 533, Centro Histórico De Sa..."
Departamento Compañía - Santiago Centro/amunátegui,$250.000,1 dormitorio,1 baño,40 m² útiles,Compañía - Santiago Centro/amunáte...
Comodo Depto Excelente Vista Y La Mejor Orientación,$390.000,1 dormitorio,1 baño,44 m² útiles,"Catedral 1310, Santiago, Chile, Ce..."
"Se Arrienda Excelente Depto Estudio, Metro Bellas Artes",$240.000,1 dormitorio,1 baño,23 m² útiles,"Santo Domingo 755, Santiago, Chile..."
