Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
,$370.000,1 dormitorio,1 baño,39 m² útiles,Se Arrienda Depto Casi Nuevo 1d 1b...
Pudeto 6579 Metro Mirador - Garantía En 3 Cuotas,$410.000,2 dormitorios,1 baño,48 m² útiles,"Pudeto 6579 Metro Mirador, Plaza V..."
Arriendo Departamento Frente  Mall Florida Center,$390.000,1 dormitorio,1 baño,35 m² útiles,"Condominio Mirador Del Parque, Met..."
,$350.000,1 dormitorio,1 baño,35 m² útiles,50% Desc. 1er Mes De Arriendo Y Ga...
!!! Con Promoción¡¡¡  Se Arrienda Lindo Depto En La Florida,$500.000,3 dormitorios,2 baños,80 m² útiles,"Cercano A Metro Vicente Valdes, Vi..."
"Amplio Depto De 3d,2b Con Estac Y Bodega En Colombia",$550.000,3 dormitorios,2 baños,80 m² útiles,"Cercano A Metro Vicente Valdes, Vi..."
Depto. 1 Dormitorio,$350.000,1 dormitorio,1 baño,32 m² útiles,"Walker Martínez - Calle Colombia, ..."
"Departamento Nuevo, Uruguay Con Rojas Magallanes.-",$500.000,2 dormitorios,2 baños,64 m² útiles,"Uruguay Con Rojas Magallanes.-, Ro..."
,$350.000,1 dormitorio,1 baño,30 m² útiles,Dpto 1d + 1b + Est- Froilan Roa Co...
,$400.000,1 dormitorio,1 baño,35 m² útiles,"Departamental Con Vespucio, Plaza ..."
,$650.000,3 dormitorios,2 baños,58 m² útiles,"Santa Victoria 9448, La Florida Al..."
,$450.000,1 dormitorio,1 baño,31 m² útiles,Dpto Amoblado 1d + 1b - A Pasos De...
Arriendo Dos Dormitorios Buena Distribución,$450.000,2 dormitorios,1 baño,70 m² útiles,Excelente Ubicación Dos Dormitorio...
Departamento Con Excelente Conectividad En La Florida,$550.000,3 dormitorios,2 baños,60 m² útiles,"Depto La Florida Diego Portales, L..."
"Arriendo Dpto Nuevo, 2d/2b Estacionamiento Y Bodega",$500.000,2 dormitorios,2 baños,52 m² útiles,Arriendo Frente A Metro Hernando D...
Amplio Y Lindo Depto En Arriendo -3d -2b- 1bod,$600.000,3 dormitorios,2 baños,77 m² útiles,"Metro Mirador, Plaza Vespucio, La ..."
Arriendo De Elegante Departamento En La Florida,$580.000,2 dormitorios,2 baños,57 m² útiles,Se Arrienda Departamento / La Conc...
Arriendo Departamento La Florida,$490.000,2 dormitorios,1 baño,50 m² útiles,Avenida Trinidad /avenida La Flori...
Cómodo Y Amplio Departamento En Arriendo,$450.000,2 dormitorios,1 baño,60 m² útiles,"San Jorge Con Colombia, Los Quilla..."
