Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Brown Sur/metro Chile España/irarrazaval,$800.000,2 dormitorios,2 baños,60 m² útiles,"Brown Sur/irarrazaval, Plaza Ñuñoa..."
Departamento Primer Piso En Condominio,$460.000,2 dormitorios,1 baño,50 m² útiles,"Av. Rodrigo De Araya 3312, Juan Gó..."
"Se Arrienda Depto A Estrenar En Ñuñoa, De 2d/2b, Con 1e/1b",$1.020.000,2 dormitorios,2 baños,60 m² útiles,"Lincoyán 1001, Metro Monseñor Eyza..."
Arriendo Depto 3 D 2 B Estacionamiento Y Bodega,$800.000,3 dormitorios,2 baños,86 m² útiles,"Capitán Fuentes 250, Metro Monseño..."
Dpto 1 Dormitorio Amplio Ñuñoa,$360.000,1 dormitorio,1 baño,37 m² útiles,"Zañartu 900 - 1200, Estadio Nacion..."
Depto De Lujo Simon Bolivar Ñuñoa. 3d+2b+terraza C/n Est,$1.150.000,3 dormitorios,2 baños,86 m² útiles,"Hamburgo 800, Metro Simón Bolivar,..."
"(adm) Depto A Estrenar 1 Hab + 1b Y Terraza, Ñuñoa, M. Ñuble",$355.000,1 dormitorio,1 baño,37 m² útiles,"San Eugenio 1485, Parque San Eugen..."
Departamento De 2 Dormitorios Con Vista Despejada,$670.000,2 dormitorios,2 baños,75 m² útiles,"Av. Irarrázaval 600 - 900, Metro I..."
Arriendo De Moderno Departamento En Ñuñoa 2 Dorm.,$550.000,2 dormitorios,2 baños,57 m² útiles,"Estadio Nacional, Estadio Nacional..."
"(grc 13.012) Hermoso Home Studio En Arriendo Piso 2, Ñuñoa",$320.000,1 dormitorio,1 baño,25 m² útiles,(grc) Vicuña Mackenna Con Malaquía...
2d + 2do Dormitorio Escritorio 2b+ 1e Metro Irarrázaval,$615.000,2 dormitorios,2 baños,48 m² útiles,"Av. Italia 2025, Metro Irarrázaval..."
"Primer Piso Jardín De 50 Mt2, Dormitorio, Baño, Box Y Bodega",$710.000,1 dormitorio,1 baño,36 m² útiles,"Estrella Solitaria 5151, Ñuñoa, Ch..."
Ñuñoa 1d + 1b + Living Comedor + Terraza. Nuevo A Estrenar,$372.000,1 dormitorio,1 baño,37 m² útiles,"Zañartu 980, Estadio Nacional, Ñuñ..."
1d-1b Ñuñoa. Metro L5 A 2 Cuadras,$342.000,1 dormitorio,1 baño,37 m² útiles,"Zañartu 980, Estadio Nacional, Ñuñ..."
Ñuñoa 2 D + 2 B + Estar + Balcón. Vista Norte Despejada.,$495.000,2 dormitorios,2 baños,51 m² útiles,"Zañartu 980, Estadio Nacional, Ñuñ..."
Se Arrienda Excelente Departamento Y Gran Ubicación,$595.000,2 dormitorios,2 baños,55 m² útiles,"San Eugenio 1331, Parque San Eugen..."
Monoambiente/ Semi Amoblado / Metro Santa Isabel,$430.000,1 dormitorio,1 baño,35 m² útiles,"Seminario 600 - 900, Ñuñoa, Chile,..."
Edificio Zañartu Capital Vista Norte Piso 6,$480.000,2 dormitorios,1 baño,43 m² útiles,"Zañartu 1145, Estadio Nacional, Ñu..."
"Metro Ñuñoa, Hermoso Dept, Vista Despejada, Sin Ruido, 1d+1b",UF13,1 dormitorio,1 baño,37 m² útiles,"Marchant Pereira 3361, Metro Ñuñoa..."
Departamento Metro Irarrazaval,$450.000,1 dormitorio,1 baño,46 m² útiles,"Av. Gral. Bustamante 600 - 900, Me..."
"* Piso 8, Vista Despejada!* 1 Hab / 1 Baño, Est Y Bod.",$550.000,1 dormitorio,1 baño,35 m² útiles,"Emilia Téllez 4805, Metro Simón Bo..."
"Nuevo 2d/2b Sur Poniente, Consulta Por La Opción De Compra !",UF23,2 dormitorios,2 baños,76 m² útiles,"Hamburgo 620, Plaza Egaña, Ñuñoa"
Oportunidad! Arriendo C/compromiso A Compra De Dep En Ñuñoa,$800.000,3 dormitorios,2 baños,78 m² útiles,Av. José Pedro Alessandri 900 - 12...
"Oportunidad 2 Estacionamientos, 3d 2b Barrio Plaza Egaña",$890.000,3 dormitorios,2 baños,86 m² útiles,"Francisco De Villagra 127, Plaza E..."
$890.mil Plaza Egaña 2 Estacionamientos 3d 2b Oportunidad,$890.000,3 dormitorios,2 baños,86 m² útiles,"Francisco De Villagra 127, Plaza E..."
Arriendo Departamento Nuevo Un Dormitorio Y Estacionamiento,$480.000,1 dormitorio,1 baño,36 m² útiles,"Virginio Arias 1371, Juan Gómez Mi..."
Dpto. 2d/2b + 1e/1b - Piso 2° - Emilia Téllez 4849 - Ñuñoa,$670.000,2 dormitorios,2 baños,60 m² útiles,"Emilia Téllez 4849, Ñuñoa, Chile, ..."
"Arriendo Depto 1dor, 1baño, Estac, Bga,  Metro Chile España",$530.000,1 dormitorio,1 baño,38 m² útiles,"Av. José Pedro Alessandri 433, Ñuñ..."
$450.000 Amoblado San Eugenio / Ñuble,$450.000,1 dormitorio,1 baño,40 m² útiles,"San Eugenio 1331, Parque San Eugen..."
Ñuñoa Depto Nuevo Av.p De Valdivia / Zañartu 1d 1b Terraza,$420.000,1 dormitorio,1 baño,42 m² útiles,"Zañartu 2560, Ñuñoa, Estadio Nacio..."
,$350.000,1 dormitorio,1 baño,37 m² útiles,Arriendo Departamento 1 Dormitorio...
Edificio Zañartu Capital Vista Oriente Piso 8,$550.000,2 dormitorios,2 baños,55 m² útiles,"Zañartu 1145, Estadio Nacional, Ñu..."
Arrendamos Estupendo Depto A Pasos Del Mall 1d1b1e1b,$420.000,1 dormitorio,1 baño,35 m² útiles,"Portal Ñuñoa, Juan Gómez Millas, Ñ..."
Lindo Departamento En Ñuñoa (1 Dorm / 1 Baño).,$390.000,1 dormitorio,1 baño,39 m² útiles,"Obispo Orrego 900 - 1200, Ñuñoa, R..."
"Depto 2d En Arriendo Y Venta 2022, Metro (50552)",$760.000,2 dormitorios,2 baños,72 m² útiles,"Depto 2d En Arriendo Y Venta 2022,..."
Hermoso Depto Amoblado En Ñuñoa/m. Monseñor Eyzaguirre,$850.000,2 dormitorios,2 baños,67 m² útiles,"Dublé Almeyda 1960, Metro Monseñor..."
Depto Muy Bien Ubicado Ñuñoa.,UF14,1 dormitorio,1 baño,50 m² útiles,"Lincoyán 900 - 1200, Metro Monseño..."
Se Arrienda Departamento Nuevo En Ñuñoa,$580.000,2 dormitorios,1 baño,46 m² útiles,"Castillo Urizar 1845, Estadio Naci..."
Departamento En Arriendo De 2 Dorm. En Santiago,$500.000,2 dormitorios,2 baños,45 m² útiles,"Cercano A Metro Ñuble, Parque San ..."
Depto Arriendo Ñuñoa Tranquilidad Confort.,$480.000,2 dormitorios,1 baño,65 m² útiles,"Exequiel Fernández 1575, Estadio N..."
"Metro Plaza Egaña  2d 2b Bd Y 1 Bx, E",$620.000,2 dormitorios,2 baños,59 m² útiles,"Cauquenes 99, Diagonal Oriente, Ñu..."
"Departamento 2d,1b, Premio Nobel 1957, Macul",$340.000,2 dormitorios,1 baño,48 m² útiles,"Premio Nobel 1957, Juan Gómez Mill..."
Departamento En Ñuñoa 2 Estacionamientos,$840.000,3 dormitorios,2 baños,110 m² útiles,"Exequiel Fernández 444, Plaza Ñuño..."
